Pickup Date,Pickup Day,Pickup Time,Pickup Location,Vehicle
01-07-2014,Tuesday,12:00:00 AM," 100 Elgar Pl Co-Op City, BX",First Class
01-07-2014,Tuesday,12:00:00 AM,"55 QUAKER RIDGE RD New Rochelle ,NY.",Skyline
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,First Class
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,American
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,Skyline
01-07-2014,Tuesday,12:00:00 AM,"550 Atlantic Ave Downtown Bklyn, BK",First Class
01-07-2014,Tuesday,12:00:00 AM,557 Broadway Nyc,First Class
01-07-2014,Tuesday,12:00:00 AM,MAMAJUANA 237 Dyckman St NYC,Diplo
01-07-2014,Tuesday,12:00:00 AM,minivan 580 W 161 St NYC,Diplo
01-07-2014,Tuesday,12:00:00 AM,"parqueo ne Fulton Ave Tremont, BX",Diplo
01-07-2014,Tuesday,12:00:00 AM,por el parqueo 150   W 225 St NYC,Skyline
01-07-2014,Tuesday,12:00:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline
01-07-2014,Tuesday,12:00:00 AM,tao restaurant 251 Dyckman St NYC,Skyline
01-07-2014,Tuesday,12:01:00 AM,"  E 136th St Mott Haven, BX",Skyline
01-07-2014,Tuesday,12:01:00 AM," 100 E Mosholu Pkwy S Fordham, BX",Skyline
01-07-2014,Tuesday,12:01:00 AM,"la gomera nw E 149th St Cortlandt, BX",First Class
01-07-2014,Tuesday,12:01:00 AM,por el frente 158-18 Riverside Dr NYC,First Class
01-07-2014,Tuesday,12:01:00 AM,"riverdale city grill 3543 Riverdale Ave Kingsbridge, BX",Prestige
01-07-2014,Tuesday,12:01:00 AM,SALON 503 West 181 St NYC,American
01-07-2014,Tuesday,12:01:00 AM,TWIN DONUTS SW Broadway NYC,Skyline
01-07-2014,Tuesday,12:02:00 AM,  157 brook corner job  Bronx,First Class
01-07-2014,Tuesday,12:02:00 AM," 1 Marble Hill Ave Kingsbridge, BX",First Class
01-07-2014,Tuesday,12:02:00 AM," 100 E Mosholu Pkwy S Fordham, BX",Diplo
01-07-2014,Tuesday,12:02:00 AM," 1000 Baychester Ave Co-Op City, BX",Skyline
01-07-2014,Tuesday,12:02:00 AM," 1000 Duncan St Baychester, BX",Skyline
01-07-2014,Tuesday,12:02:00 AM," 1001 E 163rd St Foxhurst, BX",Prestige
01-07-2014,Tuesday,12:02:00 AM," 1010 E 178th St Westfarms, BX",Skyline
01-07-2014,Tuesday,12:02:00 AM," 1032 Ogden Ave High Bridge, BX",Prestige
01-07-2014,Tuesday,12:02:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:02:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:02:00 AM,"PARKEO NW Jerome Ave High Bridge, BX",Prestige
01-07-2014,Tuesday,12:02:00 AM,"plazza 420 E Fordham Rd Fordham, BX",Prestige
01-07-2014,Tuesday,12:02:00 AM,precinto sw Amsterdam Ave NYC,Skyline
01-07-2014,Tuesday,12:02:00 AM,RESTAURANT EL VALLE 3340 Broadway NYC,Skyline
01-07-2014,Tuesday,12:02:00 AM,SALSA CON FUEGO 2297  Cedar Ave Bronx,First Class
01-07-2014,Tuesday,12:02:00 AM,"taller 1700 Jerome Ave Morris Heights, BX",First Class
01-07-2014,Tuesday,12:03:00 AM, 1 BUENAS NOCHES Y BENDICIONES A TODOS! Bronx,Skyline
01-07-2014,Tuesday,12:03:00 AM," 1 Gabriel Dr Baychester, BX",Prestige
01-07-2014,Tuesday,12:03:00 AM,"BASE --- 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:03:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:03:00 AM,"esquina ne   Davidson Ave Jerome, BX",Skyline
01-07-2014,Tuesday,12:03:00 AM,"MINI VAN 3204 Ely Ave Baychester, BX",Prestige
